family_name,group_name,n_days,actual_total,pred_total,signed_bias,bias_ratio,segment_wrmsse,weight_sum,weighted_contribution,model,fold
weekday,Monday,8,11208.0,10707.0,-501.0,0.9552997858672377,0.49285323030703715,1.0,0.49285323030703715,recent21_28_56_w35_45_20_sunday0,recent_2025
weekday,Monday,8,11208.0,10756.82142857143,-451.17857142857065,0.9597449525848885,0.49298123240083797,1.0,0.49298123240083797,recent21_28_56_w25_50_25_sunday0,recent_2025
weekday,Monday,8,11208.0,10881.726984126986,-326.2730158730137,0.9708892741012657,0.49396490441499463,1.0,0.49396490441499463,recent18_21_28_w35_50_15_sunday0,recent_2025
weekday,Monday,8,11208.0,10422.857142857143,-785.1428571428569,0.9299479963291527,0.4943859474402485,1.0,0.4943859474402485,recent21_sunday0,recent_2025
weekday,Monday,8,11208.0,11158.800000000001,-49.19999999999891,0.9956102783725911,0.4953716778623788,1.0,0.4953716778623788,recent14_18_21_w20_45_35_sunday0,recent_2025
weekday,Monday,8,11208.0,11588.444444444445,380.44444444444525,1.0339440082480769,0.49674107573841086,1.0,0.49674107573841086,recent18_sunday0,recent_2025
weekday,Monday,8,11208.0,11480.0,272.0,1.0242683797287653,0.4982639149295497,1.0,0.4982639149295497,recent14_sunday0,recent_2025
weekday,Monday,8,11208.0,11079.857142857143,-128.14285714285688,0.9885668400122362,0.5022453887966363,1.0,0.5022453887966363,recent56_sunday0,recent_2025
weekday,Monday,8,11208.0,11341.761904761905,133.7619047619046,1.011934502566194,0.5040453302569186,1.0,0.5040453302569186,recent84_sunday0,recent_2025
weekday,Monday,8,11208.0,0.0,-11208.0,0.0,0.5794968164422066,1.0,0.5794968164422066,zero,recent_2025
weekday,Saturday,8,13781.0,10756.82142857143,-3024.1785714285706,0.7805544901365234,0.5623932947927688,1.0,0.5623932947927688,recent21_28_56_w25_50_25_sunday0,recent_2025
weekday,Saturday,8,13781.0,10707.0,-3074.0,0.7769392642043393,0.5624404739416622,1.0,0.5624404739416622,recent21_28_56_w35_45_20_sunday0,recent_2025
weekday,Saturday,8,13781.0,10592.57142857143,-3188.4285714285706,0.7686359065794521,0.5628990009618343,1.0,0.5628990009618343,recent21_28_w50_50_sunday0,recent_2025
weekday,Saturday,8,13781.0,10762.285714285712,-3018.714285714288,0.7809509987871498,0.5629026905572894,1.0,0.5629026905572894,recent28_sunday0,recent_2025
weekday,Saturday,8,13781.0,11480.0,-2301.0,0.8330309846890647,0.5637569866708579,1.0,0.5637569866708579,recent14_sunday0,recent_2025
weekday,Saturday,8,13781.0,10422.857142857143,-3358.142857142857,0.7563208143717541,0.5638673654829987,1.0,0.5638673654829987,recent21_sunday0,recent_2025
weekday,Saturday,8,13781.0,11079.857142857143,-2701.142857142857,0.8039951486000394,0.5650296042702888,1.0,0.5650296042702888,recent56_sunday0,recent_2025
